id,mass_spectrometer_id,analysis_type_id,spectrometer_parameters_id,script_id
546,3,7,NULL,NULL
547,3,3,NULL,NULL
548,3,3,NULL,NULL
549,3,7,NULL,NULL
550,3,7,NULL,NULL
551,3,3,NULL,NULL
552,3,7,NULL,NULL
553,3,7,NULL,NULL
554,3,7,NULL,NULL
555,3,3,NULL,NULL
556,3,7,NULL,NULL
557,3,7,NULL,NULL
558,3,3,NULL,NULL
559,3,7,NULL,NULL
560,3,7,NULL,NULL
561,3,7,NULL,NULL
562,3,3,NULL,NULL
563,3,7,NULL,NULL
564,3,7,NULL,NULL
565,3,3,NULL,NULL
566,3,7,NULL,NULL
567,3,7,NULL,NULL
568,3,3,NULL,NULL
569,3,3,NULL,NULL
570,3,7,NULL,NULL
571,3,3,NULL,NULL
572,3,7,NULL,NULL
573,3,7,NULL,NULL
574,3,7,NULL,NULL
575,3,3,NULL,NULL
576,3,7,NULL,NULL
577,3,7,NULL,NULL
578,3,7,NULL,NULL
579,3,7,NULL,NULL
580,3,3,NULL,NULL
581,3,7,NULL,NULL
582,3,7,NULL,NULL
583,3,7,NULL,NULL
584,3,3,NULL,NULL
585,3,7,NULL,NULL
586,3,7,NULL,NULL
587,3,3,NULL,NULL
588,3,7,NULL,NULL
589,3,7,NULL,NULL
590,3,7,NULL,NULL
591,3,3,NULL,NULL
592,3,7,NULL,NULL
593,3,7,NULL,NULL
594,3,3,NULL,NULL
595,3,7,NULL,NULL
596,3,7,NULL,NULL
597,3,7,NULL,NULL
598,3,3,NULL,NULL
599,3,7,NULL,NULL
600,3,7,NULL,NULL
601,3,3,NULL,NULL
602,3,3,NULL,NULL
603,3,3,NULL,NULL
604,3,3,NULL,NULL
605,3,3,NULL,NULL
606,3,7,NULL,NULL
607,3,3,NULL,NULL
608,3,7,NULL,NULL
609,3,7,NULL,NULL
610,3,7,NULL,NULL
611,3,7,NULL,NULL
612,3,3,NULL,NULL
613,3,7,NULL,NULL
614,3,3,NULL,NULL
615,3,7,NULL,NULL
616,3,7,NULL,NULL
617,3,7,NULL,NULL
618,3,7,NULL,NULL
619,3,7,NULL,NULL
620,3,3,NULL,NULL
621,3,7,NULL,NULL
622,3,7,NULL,NULL
623,3,7,NULL,NULL
624,3,7,NULL,NULL
625,3,3,NULL,NULL
626,3,7,NULL,NULL
627,3,7,NULL,NULL
628,3,3,NULL,NULL
629,3,7,NULL,NULL
630,3,3,NULL,NULL
631,3,7,NULL,NULL
632,3,7,NULL,NULL
633,3,3,NULL,NULL
634,3,3,NULL,NULL
635,3,7,NULL,NULL
636,3,7,NULL,NULL
637,3,7,NULL,NULL
638,3,7,NULL,NULL
639,3,7,NULL,NULL
640,3,3,NULL,NULL
641,3,7,NULL,NULL
642,3,7,NULL,NULL
643,3,7,NULL,NULL
644,3,7,NULL,NULL
645,3,7,NULL,NULL
646,3,7,NULL,NULL
647,3,7,NULL,NULL
648,3,7,NULL,NULL
649,3,7,NULL,NULL
650,3,7,NULL,NULL
651,3,7,NULL,NULL
652,3,7,NULL,NULL
653,3,7,NULL,NULL
654,3,7,NULL,NULL
655,3,3,NULL,NULL
656,3,7,NULL,NULL
657,3,7,NULL,NULL
658,3,7,NULL,NULL
659,3,7,NULL,NULL
660,3,7,NULL,NULL
661,3,7,NULL,NULL
662,3,3,NULL,NULL
663,3,3,NULL,NULL
664,3,3,NULL,NULL
665,3,3,NULL,NULL
666,3,7,NULL,NULL
667,3,7,NULL,NULL
668,3,7,NULL,NULL
669,3,3,NULL,NULL
670,3,7,NULL,NULL
671,3,7,NULL,NULL
672,3,7,NULL,NULL
673,3,3,NULL,NULL
674,3,3,NULL,NULL
675,3,7,NULL,NULL
676,3,7,NULL,NULL
677,3,7,NULL,NULL
678,3,7,NULL,NULL
679,3,3,NULL,NULL
680,3,7,NULL,NULL
681,3,7,NULL,NULL
682,3,7,NULL,NULL
683,3,7,NULL,NULL
684,3,3,NULL,NULL
685,3,3,NULL,NULL
686,3,3,NULL,NULL
687,3,3,NULL,NULL
688,3,3,NULL,NULL
689,3,7,NULL,NULL
690,3,3,NULL,NULL
691,3,7,NULL,NULL
692,3,7,NULL,NULL
693,3,3,NULL,NULL
694,3,7,NULL,NULL
695,3,7,NULL,NULL
696,3,7,NULL,NULL
697,3,7,NULL,NULL
698,3,3,NULL,NULL
699,3,7,NULL,NULL
700,3,7,NULL,NULL
701,3,7,NULL,NULL
702,3,7,NULL,NULL
703,3,7,NULL,NULL
704,3,3,NULL,NULL
705,3,7,NULL,NULL
706,3,7,NULL,NULL
707,3,3,NULL,NULL
708,3,7,NULL,NULL
709,3,7,NULL,NULL
710,3,3,NULL,NULL
711,3,7,NULL,NULL
712,3,7,NULL,NULL
713,3,7,NULL,NULL
714,3,7,NULL,NULL
715,3,7,NULL,NULL
716,3,3,NULL,NULL
717,3,7,NULL,NULL
718,3,7,NULL,NULL
719,3,7,NULL,NULL
720,3,7,NULL,NULL
721,3,7,NULL,NULL
722,3,7,NULL,NULL
723,3,7,NULL,NULL
724,3,7,NULL,NULL
725,3,7,NULL,NULL
726,3,7,NULL,NULL
727,3,7,NULL,NULL
728,3,3,NULL,NULL
729,3,3,NULL,NULL
730,3,3,NULL,NULL
731,3,7,NULL,NULL
732,3,3,NULL,NULL
733,3,3,NULL,NULL
734,3,3,NULL,NULL
735,3,3,NULL,NULL
736,3,7,NULL,NULL
737,3,7,NULL,NULL
738,3,3,NULL,NULL
739,3,7,NULL,NULL
740,3,7,NULL,NULL
741,3,7,NULL,NULL
742,3,7,NULL,NULL
743,3,3,NULL,NULL
744,3,7,NULL,NULL
745,3,3,NULL,NULL
746,3,3,NULL,NULL
747,3,7,NULL,NULL
748,3,7,NULL,NULL
749,3,7,NULL,NULL
750,3,3,NULL,NULL
751,3,7,NULL,NULL
752,3,7,NULL,NULL
753,3,7,NULL,NULL
754,3,7,NULL,NULL
755,3,3,NULL,NULL
756,3,3,NULL,NULL
757,3,3,NULL,NULL
758,3,3,NULL,NULL
759,3,3,NULL,NULL
760,3,7,NULL,NULL
761,3,7,NULL,NULL
762,3,7,NULL,NULL
763,3,7,NULL,NULL
764,3,7,NULL,NULL
765,3,7,NULL,NULL
766,3,7,NULL,NULL
767,3,7,NULL,NULL
768,3,7,NULL,NULL
769,3,7,NULL,NULL
770,3,3,NULL,NULL
771,3,3,NULL,NULL
772,3,7,NULL,NULL
773,3,7,NULL,NULL
774,3,7,NULL,NULL
775,3,7,NULL,NULL
776,3,7,NULL,NULL
777,3,3,NULL,NULL
778,3,7,NULL,NULL
779,3,7,NULL,NULL
780,3,7,NULL,NULL
781,3,3,NULL,NULL
782,3,3,NULL,NULL
783,3,3,NULL,NULL
784,3,7,NULL,NULL
785,3,7,NULL,NULL
786,3,7,NULL,NULL
787,3,7,NULL,NULL
788,3,3,NULL,NULL
789,3,7,NULL,NULL
790,3,7,NULL,NULL
791,3,7,NULL,NULL
792,3,7,NULL,NULL
793,3,3,NULL,NULL
794,3,7,NULL,NULL
795,3,7,NULL,NULL
796,3,7,NULL,NULL
797,3,7,NULL,NULL
798,3,7,NULL,NULL
799,3,7,NULL,NULL
800,3,7,NULL,NULL
801,3,7,NULL,NULL
802,3,3,NULL,NULL
803,3,3,NULL,NULL
804,3,3,NULL,NULL
805,3,7,NULL,NULL
806,3,7,NULL,NULL
807,3,7,NULL,NULL
808,3,3,NULL,NULL
809,3,3,NULL,NULL
810,3,7,NULL,NULL
811,3,7,NULL,NULL
