id,history_id,detector_id,user_value,user_error,"fit"
235,40,31,1,0,NULL
236,40,31,1,0,NULL
237,40,31,1,0,NULL
238,41,31,1,0,NULL
239,41,31,1,0,NULL
240,41,31,1,0,NULL
241,41,31,1,0,NULL
242,41,31,1,0,NULL
243,41,31,1,0,NULL
244,42,31,1,0,NULL
245,42,31,1,0,NULL
246,42,31,1,0,NULL
247,42,31,1,0,NULL
248,42,31,1,0,NULL
249,42,31,1,0,NULL
250,43,31,1,0,NULL
251,43,31,1,0,NULL
252,43,31,1,0,NULL
253,43,31,1,0,NULL
254,43,31,1,0,NULL
255,43,31,1,0,NULL
256,43,31,1,0,NULL
257,44,31,1,0,NULL
258,44,31,1,0,NULL
259,44,31,1,0,NULL
260,44,31,1,0,NULL
261,44,31,1,0,NULL
262,44,31,1,0,NULL
263,45,31,1,0,NULL
264,45,31,1,0,NULL
265,45,31,1,0,NULL
266,45,31,1,0,NULL
267,45,31,1,0,NULL
268,45,31,1,0,NULL
269,46,31,1,0,NULL
270,46,31,1,0,NULL
271,46,31,1,0,NULL
272,46,31,1,0,NULL
273,46,31,1,0,NULL
274,46,31,1,0,NULL
275,47,31,1,0,NULL
276,47,31,1,0,NULL
277,47,31,1,0,NULL
278,47,31,1,0,NULL
279,47,31,1,0,NULL
280,47,31,1,0,NULL
281,48,31,1,0,NULL
282,48,31,1,0,NULL
283,48,31,1,0,NULL
284,48,31,1,0,NULL
285,48,31,1,0,NULL
286,48,31,1,0,NULL
287,49,31,1,0,NULL
288,49,31,1,0,NULL
289,49,31,1,0,NULL
290,49,31,1,0,NULL
291,49,31,1,0,NULL
292,49,31,1,0,NULL
293,50,31,1,0,NULL
294,50,31,1,0,NULL
295,50,31,1,0,NULL
296,50,31,1,0,NULL
297,50,31,1,0,NULL
298,50,31,1,0,NULL
299,51,31,1,0,NULL
300,51,31,1,0,NULL
301,51,31,1,0,NULL
302,51,31,1,0,NULL
303,51,31,1,0,NULL
304,51,31,1,0,NULL
305,52,31,1,0,NULL
306,52,31,1,0,NULL
307,52,31,1,0,NULL
308,52,31,1,0,NULL
309,52,31,1,0,NULL
310,52,31,1,0,NULL
311,53,31,1,0,NULL
312,53,31,1,0,NULL
313,53,31,1,0,NULL
314,53,31,1,0,NULL
315,53,31,1,0,NULL
316,53,31,1,0,NULL
317,54,31,1,0,NULL
318,54,31,1,0,NULL
319,54,31,1,0,NULL
320,54,31,1,0,NULL
321,54,31,1,0,NULL
322,54,31,1,0,NULL
323,55,31,1,0,NULL
324,55,31,1,0,NULL
325,55,31,1,0,NULL
326,55,31,1,0,NULL
327,55,31,1,0,NULL
328,55,31,1,0,NULL
329,56,31,1,0,NULL
330,56,31,1,0,NULL
331,56,31,1,0,NULL
332,56,31,1,0,NULL
333,56,31,1,0,NULL
