id,intercalibration_id,ic_analysis_id
252,26961,5282
253,26962,4578
254,26962,4582
255,26962,4583
256,26962,4584
257,26962,4585
258,26962,4610
259,26962,4626
260,26962,4640
261,26962,4656
262,26962,4660
263,26962,4662
264,26962,5186
265,26962,5203
266,26962,5213
267,26962,5231
268,26962,5247
269,26962,5263
270,26962,5282
271,26963,4578
272,26963,4582
273,26963,4583
274,26963,4584
275,26963,4585
276,26963,4610
277,26963,4626
278,26963,4640
279,26963,4656
280,26963,4660
281,26963,4662
282,26963,5186
283,26963,5203
284,26963,5213
285,26963,5231
286,26963,5247
287,26963,5263
288,26963,5282
289,26964,4578
290,26964,4582
291,26964,4583
292,26964,4584
293,26964,4585
294,26964,4610
295,26964,4626
296,26964,4640
297,26964,4656
298,26964,4660
299,26964,4662
300,26964,5186
301,26964,5203
302,26964,5213
303,26964,5231
304,26964,5247
305,26964,5263
306,26964,5282
307,26965,4578
308,26965,4582
309,26965,4583
310,26965,4584
311,26965,4585
312,26965,4610
313,26965,4626
314,26965,4640
315,26965,4656
316,26965,4660
317,26965,4662
318,26965,5186
319,26965,5203
320,26965,5213
321,26965,5231
322,26965,5247
323,26965,5263
324,26965,5282
325,26966,4578
326,26966,4582
327,26966,4583
328,26966,4584
329,26966,4585
330,26966,4610
331,26966,4626
332,26966,4640
333,26966,4656
334,26966,4660
335,26966,4662
336,26966,5186
337,26966,5203
338,26966,5213
339,26966,5231
340,26966,5247
341,26966,5263
342,26966,5282
343,26967,4578
344,26967,4582
345,26967,4583
346,26967,4584
347,26967,4585
348,26967,4610
349,26967,4626
350,26967,4640
351,26967,4656
352,26967,4660
353,26967,4662
354,26967,5186
355,26967,5203
356,26967,5213
357,26967,5231
358,26967,5247
359,26967,5263
360,26967,5282
361,26968,4578
362,26968,4582
363,26968,4583
364,26968,4584
365,26968,4585
366,26968,4610
367,26968,4626
368,26968,4640
369,26968,4656
370,26968,4660
371,26968,4662
372,26968,5186
373,26968,5203
374,26968,5213
375,26968,5231
376,26968,5247
377,26968,5263
378,26968,5282
379,26969,4578
380,26969,4582
381,26969,4583
382,26969,4584
383,26969,4585
384,26969,4610
385,26969,4626
386,26969,4640
387,26969,4656
388,26969,4660
389,26969,4662
390,26969,5186
391,26969,5203
392,26969,5213
393,26969,5231
394,26969,5247
395,26969,5263
396,26969,5282
397,26970,4578
398,26970,4582
399,26970,4583
