id,"create_date","user","identifier"
372,"2014-01-16 15:38:17",NULL,"56960"
373,"2014-01-16 15:38:19",NULL,"56961"
374,"2014-01-16 15:38:22",NULL,"56962"
375,"2014-01-16 15:38:24",NULL,"56963"
376,"2014-01-16 15:38:26",NULL,"56964"
377,"2014-01-16 15:38:29",NULL,"56965"
378,"2014-01-16 15:38:31",NULL,"56966"
379,"2014-01-16 15:38:37",NULL,"56967"
380,"2014-01-16 15:38:43",NULL,"56967"
381,"2014-01-16 15:38:47",NULL,"56967"
382,"2014-01-16 15:38:48",NULL,"56968"
383,"2014-01-16 15:38:52",NULL,"56969"
384,"2014-01-16 15:38:54",NULL,"56970"
385,"2014-01-16 15:38:56",NULL,"56971"
386,"2014-01-16 15:38:58",NULL,"56972"
387,"2014-01-16 15:38:59",NULL,"57016"
388,"2014-01-16 15:39:05",NULL,"57017"
389,"2014-01-16 15:39:08",NULL,"57017"
390,"2014-01-16 15:39:11",NULL,"57018"
391,"2014-01-16 15:39:14",NULL,"57018"
392,"2014-01-16 15:39:19",NULL,"57536"
393,"2014-01-16 15:39:20",NULL,"57537"
394,"2014-01-16 15:39:22",NULL,"57538"
395,"2014-01-16 15:39:24",NULL,"57539"
396,"2014-01-16 15:39:26",NULL,"57540"
397,"2014-01-16 15:39:27",NULL,"57541"
398,"2014-01-16 15:39:29",NULL,"57542"
399,"2014-01-16 15:39:30",NULL,"57543"
400,"2014-01-16 15:39:32",NULL,"57544"
401,"2014-01-16 15:39:38",NULL,"57545"
402,"2014-01-16 15:39:39",NULL,"57546"
403,"2014-01-16 15:39:41",NULL,"57547"
404,"2014-01-16 15:39:43",NULL,"57548"
405,"2014-01-16 15:39:45",NULL,"57549"
406,"2014-01-16 15:39:47",NULL,"57550"
407,"2014-01-16 15:39:49",NULL,"57551"
408,"2014-01-16 15:39:50",NULL,"57552"
409,"2014-01-16 15:39:52",NULL,"57553"
410,"2014-01-16 15:39:54",NULL,"57554"
411,"2014-01-16 15:39:56",NULL,"57555"
412,"2014-01-16 15:40:03",NULL,"57556"
413,"2014-01-16 15:40:05",NULL,"57557"
414,"2014-01-16 15:40:07",NULL,"57718"
415,"2014-01-16 15:40:08",NULL,"57719"
416,"2014-01-16 15:40:10",NULL,"57720"
417,"2014-01-16 15:40:12",NULL,"57721"
418,"2014-01-16 15:40:14",NULL,"57722"
419,"2014-01-16 15:40:16",NULL,"57723"
420,"2014-01-16 15:40:18",NULL,"57724"
421,"2014-01-16 15:40:19",NULL,"57725"
422,"2014-01-16 15:40:21",NULL,"57726"
423,"2014-01-16 15:40:23",NULL,"57727"
424,"2014-01-16 15:40:25",NULL,"57728"
425,"2014-01-16 15:40:32",NULL,"57729"
426,"2014-01-16 15:40:34",NULL,"57730"
427,"2014-01-16 15:40:36",NULL,"57731"
428,"2014-01-16 15:40:38",NULL,"57732"
429,"2014-01-16 15:40:39",NULL,"57733"
430,"2014-01-16 15:40:41",NULL,"58613"
431,"2014-01-16 15:40:43",NULL,"57734"
432,"2014-01-16 15:40:44",NULL,"57735"
433,"2014-01-16 15:40:46",NULL,"57736"
434,"2014-01-16 15:40:48",NULL,"57737"
435,"2014-01-16 15:40:49",NULL,"57738"
436,"2014-01-16 15:40:51",NULL,"58611"
437,"2014-01-16 15:40:53",NULL,"58612"
438,"2014-01-16 15:40:54",NULL,"58615"
439,"2014-01-16 15:40:56",NULL,"58616"
440,"2014-01-16 15:40:58",NULL,"58617"
441,"2014-01-16 15:41:00",NULL,"58618"
442,"2014-01-16 15:41:02",NULL,"58619"
443,"2014-01-16 15:41:13",NULL,"58620"
444,"2014-01-16 15:41:15",NULL,"58621"
445,"2014-01-16 15:41:17",NULL,"58622"
446,"2014-01-16 15:41:19",NULL,"58623"
447,"2014-01-16 15:41:20",NULL,"58624"
448,"2014-01-16 15:41:22",NULL,"58625"
449,"2014-01-16 15:41:24",NULL,"58626"
450,"2014-01-16 15:41:26",NULL,"58627"
451,"2014-01-16 15:41:27",NULL,"58628"
452,"2014-01-16 15:41:29",NULL,"58629"
453,"2014-01-16 15:41:31",NULL,"58630"
454,"2014-01-16 15:41:33",NULL,"58631"
455,"2014-01-16 15:41:35",NULL,"58766"
456,"2014-01-16 15:41:37",NULL,"58767"
457,"2014-01-16 15:41:39",NULL,"58768"
458,"2014-01-16 15:41:41",NULL,"58769"
459,"2014-01-16 15:41:43",NULL,"58770"
460,"2014-01-16 15:41:46",NULL,"58771"
461,"2014-01-16 15:41:48",NULL,"58772"
462,"2014-01-16 15:42:12",NULL,"58773"
463,"2014-01-16 15:42:14",NULL,"58774"
464,"2014-01-16 15:42:16",NULL,"58775"
465,"2014-01-16 15:42:17",NULL,"58776"
466,"2014-01-16 15:42:19",NULL,"58777"
467,"2014-01-16 15:42:22",NULL,"58778"
468,"2014-01-16 15:42:24",NULL,"58779"
469,"2014-01-16 15:42:26",NULL,"58780"
470,"2014-01-16 15:42:28",NULL,"58781"
471,"2014-01-16 15:42:31",NULL,"58782"
472,"2014-01-16 15:42:33",NULL,"58783"
473,"2014-01-16 15:42:35",NULL,"58784"
474,"2014-01-16 15:42:37",NULL,"58785"
475,"2014-01-16 15:42:39",NULL,"58786"
476,"2014-01-16 15:42:41",NULL,"58787"
477,"2014-01-16 15:52:15",NULL,"56954"
478,"2014-01-16 15:52:18",NULL,"56955"
479,"2014-01-16 15:52:20",NULL,"56956"
480,"2014-01-16 15:52:22",NULL,"56957"
481,"2014-01-16 15:52:24",NULL,"56958"
482,"2014-01-16 15:52:27",NULL,"56959"
483,"2014-01-16 15:52:29",NULL,"56960"
484,"2014-01-16 15:52:31",NULL,"56961"
485,"2014-01-16 15:52:34",NULL,"56962"
486,"2014-01-16 15:52:36",NULL,"56963"
487,"2014-01-16 15:52:38",NULL,"56964"
488,"2014-01-16 15:52:41",NULL,"56965"
489,"2014-01-16 15:52:43",NULL,"56966"
490,"2014-01-16 15:52:45",NULL,"56967"
491,"2014-01-16 15:52:48",NULL,"56967"
492,"2014-01-16 15:52:50",NULL,"56967"
493,"2014-01-16 15:52:51",NULL,"56968"
494,"2014-01-16 15:52:53",NULL,"56969"
495,"2014-01-16 15:52:56",NULL,"56970"
496,"2014-01-16 15:52:58",NULL,"56971"
497,"2014-01-16 15:53:00",NULL,"56972"
498,"2014-01-16 15:53:02",NULL,"57016"
499,"2014-01-16 15:53:05",NULL,"57017"
500,"2014-01-16 15:53:07",NULL,"57017"
501,"2014-01-16 15:53:09",NULL,"57018"
502,"2014-01-16 15:53:11",NULL,"57018"
503,"2014-01-16 15:53:13",NULL,"57536"
504,"2014-01-16 15:53:14",NULL,"57537"
505,"2014-01-16 15:53:19",NULL,"57538"
506,"2014-01-16 15:53:20",NULL,"57539"
507,"2014-01-16 15:53:22",NULL,"57540"
508,"2014-01-16 15:53:24",NULL,"57541"
509,"2014-01-16 15:53:25",NULL,"57542"
510,"2014-01-16 15:53:27",NULL,"57543"
511,"2014-01-16 15:53:28",NULL,"57544"
512,"2014-01-16 15:53:30",NULL,"57545"
513,"2014-01-16 15:53:35",NULL,"57546"
514,"2014-01-16 15:53:37",NULL,"57547"
515,"2014-01-16 15:53:38",NULL,"57548"
516,"2014-01-16 15:53:40",NULL,"57549"
517,"2014-01-16 15:53:42",NULL,"57550"
518,"2014-01-16 15:53:44",NULL,"57551"
519,"2014-01-16 15:53:46",NULL,"57552"
520,"2014-01-16 15:53:47",NULL,"57553"
521,"2014-01-16 15:53:53",NULL,"57554"
522,"2014-01-16 15:53:55",NULL,"57555"
523,"2014-01-16 15:53:57",NULL,"57556"
524,"2014-01-16 15:53:59",NULL,"57557"
525,"2014-01-16 15:54:00",NULL,"57718"
526,"2014-01-16 15:54:02",NULL,"57719"
527,"2014-01-16 15:54:04",NULL,"57720"
528,"2014-01-16 15:54:06",NULL,"57721"
529,"2014-01-16 15:54:08",NULL,"57722"
530,"2014-01-16 15:54:10",NULL,"57723"
531,"2014-01-16 15:54:12",NULL,"57724"
532,"2014-01-16 15:54:18",NULL,"57725"
533,"2014-01-16 15:54:20",NULL,"57726"
534,"2014-01-16 15:54:22",NULL,"57727"
535,"2014-01-16 15:54:24",NULL,"57728"
536,"2014-01-16 15:54:25",NULL,"57729"
537,"2014-01-16 15:54:27",NULL,"57730"
538,"2014-01-16 15:54:29",NULL,"57731"
539,"2014-01-16 15:54:30",NULL,"57732"
540,"2014-01-16 15:54:32",NULL,"57733"
541,"2014-01-16 15:54:33",NULL,"58613"
542,"2014-01-16 15:54:35",NULL,"57734"
543,"2014-01-16 15:54:37",NULL,"57735"
544,"2014-01-16 15:54:39",NULL,"57736"
545,"2014-01-16 15:54:41",NULL,"57737"
546,"2014-01-16 15:54:48",NULL,"57738"
547,"2014-01-16 15:54:50",NULL,"58611"
548,"2014-01-16 15:54:52",NULL,"58612"
549,"2014-01-16 15:54:53",NULL,"58615"
550,"2014-01-16 15:54:55",NULL,"58616"
551,"2014-01-16 15:54:57",NULL,"58617"
552,"2014-01-16 15:54:59",NULL,"58618"
553,"2014-01-16 15:55:01",NULL,"58619"
554,"2014-01-16 15:55:02",NULL,"58620"
555,"2014-01-16 15:55:04",NULL,"58621"
556,"2014-01-16 15:55:06",NULL,"58622"
557,"2014-01-16 15:55:08",NULL,"58623"
558,"2014-01-16 15:55:09",NULL,"58624"
559,"2014-01-16 15:55:11",NULL,"58625"
560,"2014-01-16 15:55:13",NULL,"58626"
561,"2014-01-16 15:55:15",NULL,"58627"
562,"2014-01-16 15:55:17",NULL,"58628"
563,"2014-01-16 15:55:26",NULL,"58629"
564,"2014-01-16 15:55:27",NULL,"58630"
565,"2014-01-16 15:55:29",NULL,"58631"
566,"2014-01-16 15:55:31",NULL,"58766"
567,"2014-01-16 15:55:33",NULL,"58767"
568,"2014-01-16 15:55:36",NULL,"58768"
569,"2014-01-16 15:55:38",NULL,"58769"
570,"2014-01-16 15:55:40",NULL,"58770"
571,"2014-01-16 15:55:42",NULL,"58771"
572,"2014-01-16 15:55:44",NULL,"58772"
573,"2014-01-16 15:55:46",NULL,"58773"
574,"2014-01-16 15:55:48",NULL,"58774"
575,"2014-01-16 15:55:50",NULL,"58775"
576,"2014-01-16 15:55:52",NULL,"58776"
577,"2014-01-16 15:55:54",NULL,"58777"
578,"2014-01-16 15:55:56",NULL,"58778"
579,"2014-01-16 15:55:58",NULL,"58779"
580,"2014-01-16 15:56:00",NULL,"58780"
581,"2014-01-16 15:56:02",NULL,"58781"
582,"2014-01-16 15:56:17",NULL,"58782"
583,"2014-01-16 15:56:19",NULL,"58783"
584,"2014-01-16 15:56:21",NULL,"58784"
585,"2014-01-16 15:56:23",NULL,"58785"
586,"2014-01-16 15:56:24",NULL,"58786"
587,"2014-01-16 15:56:26",NULL,"58787"
588,"2014-01-18 13:46:00",NULL,"61598"
589,"2014-01-18 13:46:02",NULL,"61599"
590,"2014-01-18 13:46:05",NULL,"61600"
591,"2014-01-18 13:46:08",NULL,"61601"
592,"2014-01-18 13:46:10",NULL,"61602"
593,"2014-01-18 13:46:13",NULL,"61610"
594,"2014-01-18 13:46:16",NULL,"61611"
595,"2014-01-18 13:46:19",NULL,"61612"
596,"2014-01-18 15:26:33",NULL,"56973"
597,"2014-01-18 15:26:36",NULL,"56974"
598,"2014-01-18 15:26:39",NULL,"56975"
599,"2014-01-18 15:26:42",NULL,"56976"
600,"2014-01-18 15:26:45",NULL,"56977"
601,"2014-01-18 15:26:48",NULL,"57475"
602,"2014-01-18 15:26:50",NULL,"57493"
603,"2014-01-18 15:26:53",NULL,"57494"
604,"2014-01-18 15:26:57",NULL,"57740"
605,"2014-01-18 15:27:02",NULL,"57742"
606,"2014-01-18 15:27:06",NULL,"57744"
607,"2014-01-18 15:27:10",NULL,"57739"
608,"2014-01-18 15:27:16",NULL,"57741"
609,"2014-01-18 15:27:17",NULL,"57743"
610,"2014-01-18 15:27:20",NULL,"57745"
611,"2014-01-18 15:27:27",NULL,"61603"
612,"2014-01-18 15:27:33",NULL,"61604"
613,"2014-01-18 15:27:41",NULL,"61605"
614,"2014-01-18 15:27:46",NULL,"61606"
