id,history_id,disc,disc_error,detector_id
687,687,1.004,0.001,31
688,688,1.004,0.001,31
689,689,1.004,0.001,31
690,690,1.004,0.001,31
691,691,1.004,0.001,31
692,692,1.004,0.001,31
693,693,1.004,0.001,31
694,694,1.004,0.001,31
695,695,1.004,0.001,31
696,696,1.004,0.001,31
697,697,1.004,0.001,31
698,698,1.004,0.001,31
699,699,1.004,0.001,31
700,700,1.004,0.001,31
701,701,1.004,0.001,31
702,702,1.004,0.001,31
703,703,1.004,0.001,31
704,704,1.004,0.001,31
705,705,1.004,0.001,31
706,706,1.004,0.001,31
707,707,1.004,0.001,31
708,708,1.004,0.001,31
709,709,1.004,0.001,31
710,710,1.004,0.001,31
711,711,1.004,0.001,31
712,712,1.004,0.001,31
713,713,1.004,0.001,31
714,714,1.004,0.001,31
715,715,1.004,0.001,31
716,716,1.004,0.001,31
717,717,1.004,0.001,31
718,718,1.004,0.001,31
719,719,1.004,0.001,31
720,720,1.004,0.001,31
721,721,1.004,0.001,31
722,722,1.004,0.001,31
723,723,1.004,0.001,31
724,724,1.004,0.001,31
725,725,1.004,0.001,31
726,726,1.004,0.001,31
727,727,1.004,0.001,31
728,728,1.004,0.001,31
729,729,1.004,0.001,31
730,730,1.004,0.001,31
731,731,1.004,0.001,31
732,732,1.004,0.001,31
733,733,1.004,0.001,31
734,734,1.004,0.001,31
735,735,1.004,0.001,31
736,736,1.004,0.001,31
737,737,1.004,0.001,31
738,738,1.004,0.001,31
739,739,1.004,0.001,31
740,740,1.004,0.001,31
741,741,1.004,0.001,31
742,742,1.004,0.001,31
743,743,1.004,0.001,31
744,744,1.004,0.001,31
745,745,1.004,0.001,31
746,746,1.004,0.001,31
747,747,1.004,0.001,31
748,748,1.004,0.001,31
749,749,1.004,0.001,31
750,750,1.004,0.001,31
751,751,1.004,0.001,31
752,752,1.004,0.001,31
753,753,1.004,0.001,31
754,754,1.004,0.001,31
755,755,1.004,0.001,31
756,756,1.004,0.001,31
757,757,1.004,0.001,31
758,758,1.004,0.001,31
759,759,1.004,0.001,31
760,760,1.004,0.001,31
761,761,1.004,0.001,31
762,762,1.004,0.001,31
763,763,1.004,0.001,31
764,764,1.004,0.001,31
765,765,1.004,0.001,31
766,766,1.004,0.001,31
767,767,1.004,0.001,31
768,768,1.004,0.001,31
769,769,1.004,0.001,31
770,770,1.004,0.001,31
771,771,1.004,0.001,31
772,772,1.004,0.001,31
773,773,1.004,0.001,31
774,774,1.004,0.001,31
775,775,1.004,0.001,31
776,776,1.004,0.001,31
777,777,1.004,0.001,31
778,778,1.004,0.001,31
779,779,1.004,0.001,31
780,780,1.004,0.001,31
781,781,1.004,0.001,31
782,782,1.004,0.001,31
783,783,1.004,0.001,31
784,784,1.004,0.001,31
785,785,1.004,0.001,31
786,786,1.004,0.001,31
787,787,1.004,0.001,31
