id,history_id,user_value,user_error,use_set,"isotope","fit"
186,38,0.00999289,0.00012768,NULL,"Ar40","preceding"
187,38,0.0000376581,0.000012543,NULL,"Ar39","preceding"
188,38,0.00000389181,0.00000769499,NULL,"Ar38","preceding"
189,38,0.000194208,0.00001528,NULL,"Ar37","preceding"
190,38,0.000118004,0.0000220967,NULL,"Ar36","preceding"
191,39,0.00999289,0.00012768,NULL,"Ar40","preceding"
192,39,0.0000376581,0.000012543,NULL,"Ar39","preceding"
193,39,0.00000389181,0.00000769499,NULL,"Ar38","preceding"
194,39,0.000194208,0.00001528,NULL,"Ar37","preceding"
195,39,0.000118004,0.0000220967,NULL,"Ar36","preceding"
196,40,0.0101285,0.000113003,NULL,"Ar40","preceding"
197,40,0.000024444,0.00000939913,NULL,"Ar39","preceding"
198,40,0.0000149296,0.00000625375,NULL,"Ar38","preceding"
199,40,0.000152553,0.00000932475,NULL,"Ar37","preceding"
200,40,0.000129377,0.00000640547,NULL,"Ar36","preceding"
201,41,0.0101285,0.000113003,NULL,"Ar40","preceding"
202,41,0.000024444,0.00000939913,NULL,"Ar39","preceding"
203,41,0.0000149296,0.00000625375,NULL,"Ar38","preceding"
204,41,0.000152553,0.00000932475,NULL,"Ar37","preceding"
205,41,0.000129377,0.00000640547,NULL,"Ar36","preceding"
206,42,0.0101285,0.000113003,NULL,"Ar40","preceding"
207,42,0.000024444,0.00000939913,NULL,"Ar39","preceding"
208,42,0.0000149296,0.00000625375,NULL,"Ar38","preceding"
209,42,0.000152553,0.00000932475,NULL,"Ar37","preceding"
210,42,0.000129377,0.00000640547,NULL,"Ar36","preceding"
211,43,0.0101285,0.000113003,NULL,"Ar40","preceding"
212,43,0.000024444,0.00000939913,NULL,"Ar39","preceding"
213,43,0.0000149296,0.00000625375,NULL,"Ar38","preceding"
214,43,0.000152553,0.00000932475,NULL,"Ar37","preceding"
215,43,0.000129377,0.00000640547,NULL,"Ar36","preceding"
216,44,0.00968008,0.000155315,NULL,"Ar40","preceding"
217,44,0.0000505092,0.0000103485,NULL,"Ar39","preceding"
218,44,0.0000161557,0.00000599973,NULL,"Ar38","preceding"
219,44,0.000155364,0.00000914186,NULL,"Ar37","preceding"
220,44,0.000116109,0.00000810136,NULL,"Ar36","preceding"
221,45,0.00968008,0.000155315,NULL,"Ar40","preceding"
222,45,0.0000505092,0.0000103485,NULL,"Ar39","preceding"
223,45,0.0000161557,0.00000599973,NULL,"Ar38","preceding"
224,45,0.000155364,0.00000914186,NULL,"Ar37","preceding"
225,45,0.000116109,0.00000810136,NULL,"Ar36","preceding"
226,46,0.00968008,0.000155315,NULL,"Ar40","preceding"
227,46,0.0000505092,0.0000103485,NULL,"Ar39","preceding"
228,46,0.0000161557,0.00000599973,NULL,"Ar38","preceding"
229,46,0.000155364,0.00000914186,NULL,"Ar37","preceding"
230,46,0.000116109,0.00000810136,NULL,"Ar36","preceding"
231,47,0.00968008,0.000155315,NULL,"Ar40","preceding"
232,47,0.0000505092,0.0000103485,NULL,"Ar39","preceding"
233,47,0.0000161557,0.00000599973,NULL,"Ar38","preceding"
234,47,0.000155364,0.00000914186,NULL,"Ar37","preceding"
235,47,0.000116109,0.00000810136,NULL,"Ar36","preceding"
236,48,0.00977243,0.000139904,NULL,"Ar40","preceding"
237,48,0.000031567,0.0000167197,NULL,"Ar39","preceding"
238,48,0.0000227999,0.0000070304,NULL,"Ar38","preceding"
239,48,0.000167122,0.00000607558,NULL,"Ar37","preceding"
240,48,0.000176596,0.0000132901,NULL,"Ar36","preceding"
241,49,0.00977243,0.000139904,NULL,"Ar40","preceding"
242,49,0.000031567,0.0000167197,NULL,"Ar39","preceding"
243,49,0.0000227999,0.0000070304,NULL,"Ar38","preceding"
244,49,0.000167122,0.00000607558,NULL,"Ar37","preceding"
245,49,0.000176596,0.0000132901,NULL,"Ar36","preceding"
246,50,0.00977243,0.000139904,NULL,"Ar40","preceding"
247,50,0.000031567,0.0000167197,NULL,"Ar39","preceding"
248,50,0.0000227999,0.0000070304,NULL,"Ar38","preceding"
249,50,0.000167122,0.00000607558,NULL,"Ar37","preceding"
250,50,0.000176596,0.0000132901,NULL,"Ar36","preceding"
251,51,0.00977243,0.000139904,NULL,"Ar40","preceding"
252,51,0.000031567,0.0000167197,NULL,"Ar39","preceding"
253,51,0.0000227999,0.0000070304,NULL,"Ar38","preceding"
254,51,0.000167122,0.00000607558,NULL,"Ar37","preceding"
255,51,0.000176596,0.0000132901,NULL,"Ar36","preceding"
256,52,0.016354,0.000134287,NULL,"Ar40","preceding"
257,52,0.000327009,0.0000195385,NULL,"Ar39","preceding"
258,52,0.0000364367,0.00000952572,NULL,"Ar38","preceding"
259,52,0.000185476,0.0000119505,NULL,"Ar37","preceding"
260,52,0.000192345,0.0000126279,NULL,"Ar36","preceding"
